# RTL_ID 20111300
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: suh.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             147   N   000003b4   00006ead   000003b8   ---        --------
             148   N   000003b8   a01e8e93   000003ba   x29_t4     0000b000
             149   N   000003ba   6ead0f37   000003be   x29_t4     0000aa01
             151   N   000003be   a01e9eab   000003c2   x30_t5     dead0000
             154   N   000003c2   ffdedf83   000003c6   ---        --------
             156   N   000003c6   00006eb9   000003ca   x31_t6     0000dead
             157   N   000003ca   eade8e93   000003cc   x29_t4     0000e000
             158   N   000003cc   00004e2d   000003d0   x29_t4     0000dead
             159   N   000003d0   01df9463   000003d2   x28_t3     0000000b
             160   N   000003d2   4e2d1863   000003d6   ---        --------
             162   N   000003d6   01df000f   000003e6   ---        --------
             166   N   000003e6   000085f2   000003ea   ---        --------
             167   N   000003ea   00004501   000003ec   x11_a1     0000000b
             168   N   000003ec   00000073   000003ee   x10_a0     00000000
             169   E   000003ee   45010073   000001c0   mstatus    00001800
             169   E   000003ee   45010073   000001c0   mepc       000003ee
             169   E   000003ee   45010073   000001c0   mcause     0000000b
             169   E   000003ee   45010073   000001c0   mtval      00000000
             172   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             173   N   000001c4   02f70263   000001c6   x15_a5     00000008
             174   N   000001c6   000047a5   000001ca   ---        --------
             175   N   000001ca   00f70f63   000001cc   x15_a5     00000009
             176   N   000001cc   000047ad   000001d0   ---        --------
             177   N   000001d0   00f70c63   000001d2   x15_a5     0000000b
             178   N   000001d2   47ad0713   000001ea   ---        --------
             182   N   000001ea   07130013   00000400   ---        --------
             185   N   00000400   cf428293   00000404   x05_t0     00000400
             186   N   00000404   00008282   00000408   x05_t0     000000f4
             187   N   00000408   00000013   000000f4   ---        --------
             190   N   000000f4   0000006f   000000f8   ---        --------
             191   N   000000f8   ffffffff   000000f8   ---        --------
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: suh_ma_addr.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   fb828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     000001c0
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028d63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   00000246   ---        --------
              22   N   00000246   00006509   0000024a   ---        --------
              23   N   0000024a   00006509   0000024a   ---        --------
              24   N   0000024a   80050513   0000024c   x10_a0     00002000
              25   N   0000024c   30052073   00000250   x10_a0     00001800
              26   N   00000250   00000297   00000254   ---        --------
              27   N   00000254   00000297   00000254   ---        --------
              28   N   00000254   04c28293   00000258   x05_t0     00000254
              29   N   00000258   34129073   0000025c   x05_t0     000002a0
              30   N   0000025c   f1402573   00000260   ---        --------
              31   N   00000260   30200073   00000264   x10_a0     00000000
              33   N   00000264   00000000   000002a0   ---        --------
              36   N   000002a0   00000397   000002a2   x28_t3     00000002
              37   N   000002a2   4e098393   000002a6   x07_t2     000002a2
              39   N   000002a6   000060b1   000002aa   x07_t2     000002be
              40   N   000002aa   eef08093   000002ac   x01_ra     0000c000
              41   N   000002ac   00004101   000002b0   x01_ra     0000beef
              42   N   000002b0   0000902b   000002b2   x02_sp     00000000
              43   E   000002b2   4101d183   000001c0   mstatus    00001800
              43   E   000002b2   4101d183   000001c0   mepc       000002b2
              43   E   000002b2   4101d183   000001c0   mcause     00000006
              43   E   000002b2   4101d183   000001c0   mtval      0000beef
              46   N   000001c0   000047a1   000001c4   x14_a4     00000006
              47   N   000001c4   02f70463   000001c6   x15_a5     00000008
              48   N   000001c6   000047a5   000001ca   ---        --------
              49   N   000001ca   02f70163   000001cc   x15_a5     00000009
              50   N   000001cc   000047ad   000001d0   ---        --------
              51   N   000001d0   00f70e63   000001d2   x15_a5     0000000b
              52   N   000001d2   47ad0717   000001d6   ---        --------
              54   N   000001d6   00f70713   000001da   x14_a4     000001d6
              56   N   000001da   0000c311   000001de   x14_a4     00000314
              57   N   000001de   00008702   000001e0   ---        --------
              58   N   000001e0   34202773   00000314   ---        --------
              61   N   00000314   342022f3   00000316   x09_s1     00000006
              62   N   00000316   449991e3   0000031a   x05_t0     00000006
              64   N   0000031a   34209073   0000031e   ---        --------
              66   N   0000031e   fe920073   00000322   ---        --------
              69   N   00000322   00000073   000002be   ---        --------
              72   N   000002be   00000397   000002c0   x28_t3     00000003
              73   N   000002c0   01c38393   000002c4   x07_t2     000002c0
              74   N   000002c4   00006085   000002c8   x07_t2     000002dc
              75   N   000002c8   bee08093   000002ca   x01_ra     00001000
              76   N   000002ca   00004101   000002ce   x01_ra     00000bee
              77   N   000002ce   0000902b   000002d0   x02_sp     00000000
              79   N   000002d0   0000d183   000002d4   ---        --------
              81   N   000002d4   02219263   000002d8   x03_gp     00000000
              82   N   000002d8   00004e11   000002dc   ---        --------
              83   N   000002dc   00000397   000002de   x28_t3     00000004
              84   N   000002de   4e118393   000002e2   x07_t2     000002de
              86   N   000002e2   00000093   000002e6   x07_t2     000002f8
              88   N   000002e6   00004101   000002ea   x01_ra     000000a1
              89   N   000002ea   0000902b   000002ec   x02_sp     00000000
              90   E   000002ec   0000d183   000001c0   mstatus    00001800
              90   E   000002ec   0000d183   000001c0   mepc       000002ec
              90   E   000002ec   0000d183   000001c0   mcause     00000006
              90   E   000002ec   0000d183   000001c0   mtval      000000a1
              93   N   000001c0   000047a1   000001c4   x14_a4     00000006
              94   N   000001c4   02f70463   000001c6   x15_a5     00000008
              95   N   000001c6   000047a5   000001ca   ---        --------
              96   N   000001ca   02f70163   000001cc   x15_a5     00000009
              97   N   000001cc   000047ad   000001d0   ---        --------
              98   N   000001d0   00f70e63   000001d2   x15_a5     0000000b
              99   N   000001d2   47ad0717   000001d6   ---        --------
             101   N   000001d6   00f70713   000001da   x14_a4     000001d6
             103   N   000001da   0000c311   000001de   x14_a4     00000314
             104   N   000001de   00008702   000001e0   ---        --------
             105   N   000001e0   34202773   00000314   ---        --------
             108   N   00000314   342022f3   00000316   x09_s1     00000006
             109   N   00000316   449991e3   0000031a   x05_t0     00000006
             111   N   0000031a   34209073   0000031e   ---        --------
             113   N   0000031e   fe920073   00000322   ---        --------
             116   N   00000322   00000073   000002f8   ---        --------
             119   N   000002f8   0ff0000f   00000308   ---        --------
             122   N   00000308   000085f2   0000030c   ---        --------
             123   N   0000030c   00004501   0000030e   x11_a1     00000004
             124   N   0000030e   00000073   00000310   x10_a0     00000000
             125   E   00000310   00004499   000001c0   mstatus    00001800
             125   E   00000310   00004499   000001c0   mepc       00000310
             125   E   00000310   00004499   000001c0   mcause     0000000b
             125   E   00000310   00004499   000001c0   mtval      00000000
             128   N   000001c0   000047a1   000001c4   x14_a4     0000000b
             129   N   000001c4   02f70463   000001c6   x15_a5     00000008
             130   N   000001c6   000047a5   000001ca   ---        --------
             131   N   000001ca   02f70163   000001cc   x15_a5     00000009
             132   N   000001cc   000047ad   000001d0   ---        --------
             133   N   000001d0   00f70e63   000001d2   x15_a5     0000000b
             134   N   000001d2   47ad0717   000001ee   ---        --------
             138   N   000001ee   07170013   00000340   ---        --------
             141   N   00000340   db428293   00000344   x05_t0     00000340
             142   N   00000344   00008282   00000348   x05_t0     000000f4
             143   N   00000348   00000013   000000f4   ---        --------
             146   N   000000f4   0000006f   000000f8   ---        --------
             147   N   000000f8   ffffffff   000000f8   ---        --------
